Space,Ceiling_Height,Label
Storage,2.1,3
Storage,2.42,0
Storage,2.42,0
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,1
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,2
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
Storage,2.42,3
